category_code,category_name,sort_order
68100603,"微栓过滤器",682
68100604,"血液浓缩器",683
68100605,"心脏停跳液灌注器",684
68100606,"心肺转流用管路及接头",685
68100607,"离心泵泵头",686
68100608,"心脏停跳液",687
681007,"输血、透析和体外循环器械-其他",688
68100701,"腹水超滤浓缩回输设备",689
6811,"医疗器械消毒灭菌器械",690
681101,"医疗器械消毒灭菌器械-湿热消毒灭菌设备",691
68110101,"蒸汽消毒器",692
68110102,"煮沸消毒器",693
68110103,"压力蒸汽灭菌器",694
681102,"医疗器械消毒灭菌器械-干热消毒灭菌设备",695
68110201,"热空气消毒器",696
68110202,"热空气灭菌器",697
68110203,"热辐射灭菌器",698
681103,"医疗器械消毒灭菌器械-化学消毒灭菌设备",699
68110301,"酸性氧化电位水生成器",700
68110302,"臭氧消毒器",701
68110303,"环氧乙烷灭菌器",702
68110304,"甲醛灭菌器",703
68110305,"过氧化氢灭菌器",704
68110306,"其他化学消毒灭菌器",705
681104,"医疗器械消毒灭菌器械-紫外线消毒设备",706
68110401,"紫外线消毒器",707
681105,"医疗器械消毒灭菌器械-清洗消毒设备",708
68110501,"清洗消毒器",709
68110502,"医用清洗器",710
6812,"有源植入器械",711
681201,"有源植入器械-心脏节律管理设备",712
68120101,"植入式心脏起搏器",713
68120102,"植入式心律转复除颤器",714
68120103,"临时起搏器",715
68120104,"植入式心脏起搏电极导线",716
68120105,"植入式心脏除颤电极导线",717
68120106,"临时起搏电极导线",718
68120107,"植入式心脏事件监测设备",719
68120108,"植入式封堵工具",720
68120109,"植入式电极导线移除工具",721
68120110,"起搏系统分析设备",722
68120111,"心脏节律管理程控设备",723
68120112,"连接器套筒",724
681202,"有源植入器械-神经调控设备",725
68120201,"植入式神经刺激器",726
68120202,"植入式神经刺激电极",727
68120203,"测试刺激电极",728
68120204,"神经调控充电设备",729
68120205,"植入式电极导线适配工具",730
68120206,"植入式电极导线补件",731
68120207,"测试刺激器",732
68120208,"测试延伸导线",733
68120209,"神经调控程控设备",734
681203,"有源植入器械-辅助位听觉设备",735
68120301,"植入式位听觉设备",736
68120302,"体外声音处理器",737
68120303,"辅助位听觉调控设备",738
681204,"有源植入器械-其他",739
68120401,"植入式心脏收缩力调节设备",740
68120402,"植入式循环辅助设备",741
68120403,"植入式药物输注设备",742
6813,"无源植入器械",743
681301,"无源植入器械-骨接合植入物",744
68130101,"单/多部件金属骨固定器械及附件",745
68130102,"单/多部件可吸收骨固定器械",746
68130103,"单/多部件记忆合金骨固定器械",747
68130104,"金属髓内装置",748
68130105,"金属固定环扎装置",749
68130106,"光面或带螺纹的金属骨固定紧固件",750
681302,"无源植入器械-运动损伤软组织修复重建及置换植入物",751
68130201,"运动损伤软组织修复重建植入物",752
68130202,"运动损伤软组织置换植入物",753
681303,"无源植入器械-脊柱植入物",754
68130301,"脊柱椎板间固定系统",755
68130302,"脊柱椎体间固定/置换系统",756
68130303,"脊柱椎弓根系统",757
68130304,"椎间融合器",758
68130305,"椎间盘假体",759
68130306,"棘突植入物",760
681304,"无源植入器械-关节置换植入物",761
68130401,"髋关节假体",762
68130402,"膝关节假体",763
68130403,"肩关节假体",764
68130404,"肘关节假体",765
68130405,"指关节假体",766
68130406,"腕关节假体",767
68130407,"踝关节假体",768
68130408,"颞下颌关节假体",769
681305,"无源植入器械-骨科填充和修复材料",770
68130501,"丙烯酸树脂骨水泥",771
68130502,"钙盐类骨填充植入物",772
68130503,"同种异体骨修复材料",773
68130504,"金属填充物",774
681306,"无源植入器械-神经内/外科植入物",775
68130601,"单/多部件预制颅骨成形术板及紧固件",776
68130602,"颅骨夹/锁",777
68130603,"单/多部件颅颌面固定器械及附件",778
68130604,"硬脑（脊）膜补片",779
68130605,"动脉瘤夹",780
68130606,"颅内支架系统",781
68130607,"颅内栓塞器械",782
68130608,"颅内弹簧圈系统",783
